"Country","TotalCase2021Covid","TotalCase2020Covid","Population2019","Incidence_of_HIV2020per1000","Incidence_of_TB2020per1000","IncidenceOfMalaria2018per1000"
"Afghanistan",157887,52330,38041757,0.04,193.0,29.005892
"Albania",207221,58316,2854191,0.03,15.0,
"Algeria",216098,99610,43053054,0.04,59.0,0.0
"Andorra",21730,8049,77146,,3.0,
"Angola",70221,17553,31825299,0.69,350.0,228.90895
"Antigua and Barbuda",4216,159,97115,,2.3,
"Argentina",5445236,1625514,44938712,0.13,31.0,0.0
"Armenia",344261,159409,2957728,0.11,23.0,0.0
"Aruba",17324,5489,106310,,1.1,
"Australia",291135,28425,25365745,0.03,7.3,
"Austria",1260751,360815,8879920,,4.9,
"Azerbaijan",613618,218700,10024283,0.04,58.0,0.0
"Bahamas, The",23539,7871,389486,0.28,9.1,
"Bahrain",279277,92675,1641164,,13.0,
"Bangladesh",1582710,513510,163046173,,218.0,0.69273975
"Barbados",27486,383,287021,,2.4,
"Belarus",691072,194284,9419758,0.13,26.0,
"Belgium",2038111,646496,11488980,,7.7,
"Belize",31503,10776,390351,0.53,23.0,0.01134997
"Benin",24935,3251,11801151,0.19,55.0,386.182367
"Bermuda",6014,604,63913,,5.5,
"Bhutan",2659,670,763094,0.09,165.0,0.01074782
"Bolivia",575247,160124,11513102,0.08,105.0,1.40547306
"Bosnia and Herzegovina",287276,110985,3300998,,26.0,
"Botswana",208994,14805,2303703,4.39,236.0,0.58819554
"Brazil",22234623,7681032,211049519,0.23,45.0,5.12437353
"British Virgin Islands",3016,86,30033,,3.9,
"Brunei Darussalam",15429,157,433296,,83.0,
"Bulgaria",733139,202266,6975761,,19.0,
"Burkina Faso",17040,6707,20321383,0.1,46.0,398.733694
"Burundi",23657,818,11530577,0.15,103.0,250.272496
"Cambodia",120440,378,16486542,0.07,274.0,23.6929427
"Cameroon",108451,26277,25876387,0.6,174.0,246.989591
"Canada",1978590,587429,37593384,,5.9,
"Cayman Islands",8386,338,64948,,3.5,
"Central African Republic",11961,4963,4745179,,540.0,347.326994
"Chad",5703,2113,15946882,0.22,144.0,164.831958
"Chile",1797631,608973,18952035,0.26,15.0,
"China",100871,87071,1407745000,,59.0,0.0
"Colombia",5118254,1642775,50339443,0.18,37.0,8.50137174
"Comoros",5336,823,850891,0.01,35.0,18.7583652
"Congo, Dem. Rep.",19490,7107,86790568,0.18,319.0,319.841017
"Costa Rica",568860,169321,5047561,0.34,10.0,0.04000446
"Cote d'Ivoire",63392,22490,25716554,0.24,135.0,330.598161
"Croatia",689831,210837,4065253,0.02,6.6,
"Cuba",964482,11863,11333484,0.18,6.3,
"Curacao",18622,4260,157441,,8.0,
"Cyprus",149580,22346,1198574,,5.7,
"Denmark",640413,163479,5814422,0.02,4.9,
"Djibouti",13555,5831,973557,0.13,224.0,35.208555
"Dominica",6520,88,71808,,47.0,
"Dominican Republic",413191,170785,10738957,0.32,41.0,0.12026695
"Ecuador",540122,212512,17373657,0.12,48.0,3.32035723
"Egypt, Arab Rep.",379654,138062,100388076,0.03,11.0,0.0
"El Salvador",121741,46242,6453550,0.13,55.0,0.0
"Equatorial Guinea",13623,5277,1355982,,280.0,269.009279
"Eritrea",7853,1320,,0.07,81.0,28.8797749
"Estonia",235668,27990,1326898,0.16,10.0,
"Eswatini",63953,9358,1148133,5.28,319.0,0.84235407
"Ethiopia",390737,124264,112078727,0.12,132.0,31.8149501
"Faroe Islands",5115,610,48677,,,
"Fiji",52815,49,889955,0.16,66.0,
"Finland",230392,36107,5521606,,3.6,
"France",9028603,2660676,67248926,,8.2,
"French Polynesia",46376,16926,279285,,26.0,
"Gabon",38039,9571,2172578,0.48,527.0,248.226398
"Gambia, The",10087,3797,2347696,0.93,157.0,65.997337
"Georgia",920617,227420,3720161,0.17,70.0,0.0
"Germany",6982238,1746929,83092962,0.03,5.5,
"Ghana",134555,54771,30417858,0.63,143.0,224.341579
"Gibraltar",8084,2040,33706,,,
"Greece",1064243,138850,10721582,0.09,4.5,
"Greenland",2249,27,56225,,150.0,
"Grenada",5948,127,112002,,2.8,
"Guatemala",625029,138012,16604026,0.05,27.0,0.27041453
"Guinea",30976,13722,12771246,0.42,179.0,283.887394
"Guinea-Bissau",6462,2452,1920917,0.88,361.0,123.311907
"Guyana",39042,6332,782775,0.43,79.0,44.3705897
"Haiti",25950,9999,11263079,0.45,168.0,1.6100347
"Honduras",378685,121827,9746115,0.07,30.0,0.13288229
"Hong Kong SAR, China",12555,8846,7507400,,56.0,
"Hungary",1237330,322514,9771141,,4.6,
"Iceland",22087,5754,360563,0.04,2.8,
"India",34779815,10286709,1366417756,0.04,188.0,5.33043223
"Indonesia",4261412,743198,270625567,0.1,301.0,3.86619299
"Iran, Islamic Rep.",6181784,1225142,82913893,0.03,13.0,0.0
"Iraq",2092156,595291,39309789,,27.0,0.0
"Ireland",691557,91779,4934340,0.08,5.3,
"Isle of Man",13425,377,84589,,,
"Israel",1362263,423262,9054000,,2.1,
"Italy",5567644,2107166,59729081,0.04,6.6,
"Jamaica",92355,12827,2948277,0.53,2.4,
"Japan",1730084,235749,126264931,0.01,12.0,
"Jordan",1047953,294494,10101697,0.01,4.7,
"Kazakhstan",1069409,201196,18513673,0.19,69.0,0.0
"Kenya",277609,96458,52573967,0.72,259.0,70.0976425
"Kosovo",161311,51144,1788878,,,
"Kuwait",414761,150584,4207077,,19.0,
"Kyrgyz Republic",184439,81034,6456200,0.11,105.0,0.0
"Lao PDR",104373,41,7169456,0.13,149.0,4.20125414
"Latvia",271106,40904,1913822,,23.0,
"Lebanon",709242,181503,6855709,0.03,13.0,
"Lesotho",27595,3094,2125267,4.91,650.0,
"Liberia",5929,1800,4937374,0.29,314.0,361.503979
"Libya",384663,100277,6777453,0.05,59.0,
"Liechtenstein",5896,2221,38020,,,
"Lithuania",509497,141955,2794137,,29.0,
"Luxembourg",98983,46415,620001,,5.9,
"Macao SAR, China",77,46,640446,,64.0,
"Madagascar",47295,17714,26969306,0.22,238.0,82.396779
"Malawi",69735,6583,18628749,1.21,141.0,213.640251
"Malaysia",2735241,113010,31949789,0.19,92.0,0.0
"Maldives",94564,13757,530957,,37.0,
"Mali",19866,7090,19658023,0.27,52.0,386.777532
"Malta",44761,12774,504062,,36.0,
"Marshall Islands",4,4,58791,,483.0,
"Mauritania",40389,14364,4525698,,87.0,39.4146497
"Mauritius",23077,527,1265711,0.8,12.0,
"Mexico",3947284,1426094,127575529,0.16,24.0,0.30015954
"Moldova",374120,144818,2664974,0.24,74.0,
"Monaco",4670,875,38967,,0.0,
"Mongolia",388311,1220,3225166,0.01,437.0,
"Montenegro",162364,48247,622028,0.04,16.0,
"Morocco",954853,439193,36471766,0.02,98.0,0.0
"Mozambique",170077,18642,30366043,3.5,368.0,305.358735
"Myanmar",529327,124630,54045422,,308.0,3.40407324
"Namibia",143576,23941,2494524,2.44,460.0,26.7055963
"Nepal",826901,260593,28608715,0.03,235.0,0.43994187
"Netherlands",3045334,798437,17344874,0.02,4.1,
"New Caledonia",12701,38,271300,,10.0,
"New Zealand",13719,2162,4979300,0.02,7.5,
"Nicaragua",17442,6046,6545503,0.11,42.0,7.14267745
"Niger",7263,3323,23310719,0.05,83.0,356.570613
"Nigeria",234709,87607,200963603,0.42,219.0,291.942514
"North Macedonia",222666,83329,2076694,,12.0,
"Norway",370134,49567,5347896,0.01,3.1,
"Oman",304984,128867,4974992,,7.0,0.0
"Pakistan",1293081,482178,216565317,0.12,259.0,3.38151511
"Panama",485512,246790,4246440,0.44,32.0,0.19451464
"Papua New Guinea",36110,780,8776119,0.39,441.0,184.465865
"Paraguay",465028,107932,7044639,0.13,48.0,0.0
"Peru",2271549,1015137,32510462,0.13,116.0,4.65254066
"Philippines",2838032,474064,108116622,0.15,539.0,0.17674488
"Poland",4032796,1294878,37965475,,9.6,
"Portugal",1266037,413678,10286263,0.07,16.0,
"Qatar",247517,143834,2832071,0.07,34.0,
"Romania",1801798,632263,19371648,0.04,64.0,
"Russian Federation",10164951,3127347,144406261,,46.0,
"Rwanda",103799,8383,12626938,0.34,58.0,486.487326
"Samoa",3,2,197093,,6.1,
"San Marino",7526,2333,33864,,0.0,
"Sao Tome and Principe",3744,1014,215048,,118.0,13.9173206
"Saudi Arabia",552081,362741,34268529,0.05,8.1,0.0225932
"Senegal",74302,19140,16296362,0.08,117.0,55.7525505
"Serbia",1288395,337923,6945235,0.02,13.0,
"Seychelles",24249,226,97625,,11.0,
"Sierra Leone",6659,2611,7813207,0.7,298.0,320.400296
"Singapore",277307,58599,5703569,0.01,46.0,
"Slovak Republic",1347874,274603,5454147,,3.2,
"Slovenia",454298,122152,2088385,0.01,4.1,
"Solomon Islands",20,17,669821,,65.0,133.590272
"Somalia",23532,4714,15442906,0.02,259.0,34.2742729
"South Africa",3393109,1057161,58558267,4.6,554.0,1.65073266
"South Sudan",14577,3558,11062114,1.37,232.0,235.920274
"Spain",5718007,1928265,47133521,0.08,7.3,
"Sri Lanka",582722,43299,21803000,0.01,64.0,0.0
"Sudan",46100,25500,42813237,0.09,63.0,46.7519229
"Suriname",51563,6210,581363,0.3,29.0,0.34088371
"Sweden",1273313,437379,10278887,,3.6,
"Switzerland",1227395,452296,8575280,,4.7,
"Syrian Arab Republic",50007,11434,17070132,0.01,19.0,0.0
"Tajikistan",17493,13665,9321023,0.09,84.0,0.0
"Tanzania",26483,509,58005461,1.26,222.0,124.265335
"Thailand",2204672,7163,69625581,0.1,150.0,0.36296723
"Timor-Leste",19833,44,1293120,0.1,508.0,0.0
"Togo",27405,3633,8082359,0.45,36.0,267.308608
"Trinidad and Tobago",88944,7150,1394969,0.07,18.0,
"Tunisia",722443,139140,11694721,0.03,36.0,
"Turkey",9268486,2208652,83429607,,15.0,0.0
"Turks and Caicos Islands",3219,893,38194,,11.0,
"Uganda",131981,35216,44269587,0.95,196.0,289.184576
"Ukraine",3815440,1086997,44386203,0.21,73.0,
"United Arab Emirates",747909,207822,9770526,0.13,0.79,0.0
"United Kingdom",11914919,2491838,66836327,,6.9,
"United States",51966735,20164045,328329953,,2.4,
"Uruguay",406739,19119,3461731,0.19,32.0,
"Uzbekistan",197918,77060,33580350,0.08,66.0,0.0
"Vanuatu",7,1,299882,,38.0,3.98735799
"Venezuela, RB",442999,113558,28515829,0.08,47.0,32.6785824
"Vietnam",1620869,1465,96462108,0.06,176.0,0.08228206
"Yemen, Rep.",10109,2099,29161922,0.04,49.0,45.8387464
"Zambia",228932,20725,17861034,3.64,319.0,156.701292
"Zimbabwe",202736,13867,14645473,1.74,193.0,51.0037812
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
